,uniprot_id,gene_name,locations,go_locations,type,transmembrane_num
0,O95376,ARIH2,"nucleus, cytoplasm","c:cytoplasm, c:nucleoplasm, c:nucleus, c:ubiquitin ligase complex, f:ubiquitin conjugating enzyme binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:developmental cell growth, p:hematopoietic stem cell proliferation, p:positive regulation of proteasomal ubiquitin-dependent protein catabolic process, p:positive regulation of protein targeting to mitochondrion, p:protein k48-linked ubiquitination, p:protein k63-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:ubiquitin-dependent protein catabolic process",RING,
1,Q9UHB7,AFF4,nucleus,"c:fibrillar center, c:nucleoplasm, c:super elongation complex, c:transcription elongation factor complex, c:transcriptionally active chromatin, p:regulation of gene expression, p:spermatid development",UBOX,
2,Q9NZS9,BFAR,endoplasmic reticulum membrane,"c:endoplasmic reticulum, c:integral component of endoplasmic reticulum membrane, c:integral component of plasma membrane, c:membrane, f:caspase binding, f:metal ion binding, f:protein-macromolecule adaptor activity, f:ubiquitin protein ligase activity, p:apoptotic process, p:negative regulation of apoptotic process, p:negative regulation of ire1-mediated unfolded protein response, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein autoubiquitination, p:protein k48-linked ubiquitination, p:protein k63-linked ubiquitination, p:protein polyubiquitination, p:ubiquitin-dependent protein catabolic process",RING,4.0
3,Q13489,BIRC3,"cytoplasm, nucleus","c:cytoplasm, c:cytosol, c:membrane raft, c:nucleoplasm, c:nucleus, c:protein-containing complex, f:cysteine-type endopeptidase inhibitor activity involved in apoptotic process, f:metal ion binding, f:protein-containing complex binding, f:transferase activity, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:cell surface receptor signaling pathway, p:i-kappab kinase/nf-kappab signaling, p:negative regulation of apoptotic process, p:negative regulation of necroptotic process, p:nik/nf-kappab signaling, p:positive regulation of i-kappab kinase/nf-kappab signaling, p:positive regulation of protein ubiquitination, p:regulation of apoptotic process, p:regulation of cell cycle, p:regulation of cysteine-type endopeptidase activity, p:regulation of inflammatory response, p:regulation of innate immune response, p:regulation of necroptotic process, p:regulation of nucleotide-binding oligomerization domain containing signaling pathway, p:regulation of rig-i signaling pathway, p:regulation of toll-like receptor signaling pathway, p:spermatogenesis, p:tumor necrosis factor-mediated signaling pathway",RING,
4,Q13490,BIRC2,,"c:cd40 receptor complex, c:cytoplasm, c:cytoplasmic side of plasma membrane, c:cytosol, c:membrane raft, c:nucleus, c:xy body, f:chaperone binding, f:cysteine-type endopeptidase inhibitor activity involved in apoptotic process, f:fbxo family protein binding, f:identical protein binding, f:protein n-terminus binding, f:protein-containing complex binding, f:transcription coactivator activity, f:transferase activity, f:ubiquitin binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:cell surface receptor signaling pathway, p:i-kappab kinase/nf-kappab signaling, p:necroptotic process, p:negative regulation of apoptotic process, p:negative regulation of necroptotic process, p:negative regulation of ripoptosome assembly involved in necroptotic process, p:nik/nf-kappab signaling, p:placenta development, p:positive regulation of i-kappab kinase/nf-kappab signaling, p:positive regulation of protein k48-linked ubiquitination, p:positive regulation of protein k63-linked ubiquitination, p:positive regulation of protein monoubiquitination, p:positive regulation of protein ubiquitination, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein polyubiquitination, p:regulation of apoptotic process, p:regulation of cell cycle, p:regulation of cell differentiation, p:regulation of cell population proliferation, p:regulation of cysteine-type endopeptidase activity, p:regulation of inflammatory response, p:regulation of innate immune response, p:regulation of necroptotic process, p:regulation of nik/nf-kappab signaling, p:regulation of nucleotide-binding oligomerization domain containing signaling pathway, p:regulation of reactive oxygen species metabolic process, p:regulation of rig-i signaling pathway, p:regulation of toll-like receptor signaling pathway, p:response to camp, p:response to ethanol, p:response to hypoxia, p:tumor necrosis factor-mediated signaling pathway",RING,
5,Q9UKV5,AMFR,endoplasmic reticulum membrane,"c:cytosol, c:dendrite, c:derlin-1 retrotranslocation complex, c:endoplasmic reticulum, c:endoplasmic reticulum membrane, c:endoplasmic reticulum quality control compartment, c:golgi apparatus, c:growth cone, c:integral component of endoplasmic reticulum membrane, c:integral component of membrane, c:membrane, c:neuronal cell body, c:nucleus, c:perinuclear region of cytoplasm, c:protein-containing complex, c:ubiquitin ligase complex, f:bat3 complex binding, f:chaperone binding, f:identical protein binding, f:metal ion binding, f:protein-macromolecule adaptor activity, f:signaling receptor activity, f:ubiquitin binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:ubiquitin-specific protease binding, f:ubiquitin-ubiquitin ligase activity, p:aging, p:endoplasmic reticulum mannose trimming, p:endoplasmic reticulum unfolded protein response, p:learning or memory, p:negative regulation of canonical wnt signaling pathway, p:positive regulation of protein binding, p:protein autoubiquitination, p:protein k48-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of srebp signaling pathway, p:signal transduction, p:ubiquitin-dependent erad pathway, p:ubiquitin-dependent protein catabolic process, p:wnt signaling pathway",RING,7.0
6,Q7Z569,BRAP,cytoplasm,"c:cytoplasm, c:cytosol, c:nuclear membrane, c:nucleoplasm, c:ubiquitin ligase complex, f:identical protein binding, f:nuclear localization sequence binding, f:nucleic acid binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:mapk cascade, p:negative regulation of signal transduction, p:protein ubiquitination, p:ras protein signal transduction",RING,
7,Q13191,CBLB,cytoplasm,"c:cytosol, c:membrane raft, c:nucleoplasm, c:plasma membrane, f:calcium ion binding, f:phosphotyrosine residue binding, f:receptor tyrosine kinase binding, f:sh3 domain binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:immune response, p:intracellular signal transduction, p:negative regulation of alpha-beta t cell proliferation, p:negative regulation of epidermal growth factor-activated receptor activity, p:negative regulation of t cell receptor signaling pathway, p:nls-bearing protein import into nucleus, p:peptidyl-amino acid modification, p:positive regulation of protein catabolic process, p:positive regulation of protein ubiquitination, p:positive regulation of t cell anergy, p:regulation of gtpase activity, p:regulation of platelet-derived growth factor receptor-alpha signaling pathway, p:regulation of protein binding, p:signal transduction, p:t cell activation, p:t cell receptor signaling pathway",RING,
8,Q9ULV8,CBLC,,"c:membrane raft, c:plasma membrane, f:calcium ion binding, f:epidermal growth factor receptor binding, f:phosphotyrosine residue binding, f:receptor tyrosine kinase binding, f:sh3 domain binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:cell surface receptor signaling pathway, p:negative regulation of epidermal growth factor receptor signaling pathway, p:negative regulation of epidermal growth factor-activated receptor activity, p:negative regulation of map kinase activity, p:protein ubiquitination, p:signal transduction, p:ubiquitin-dependent protein catabolic process",RING,
9,P22681,CBL,"cell projection, cilium, golgi apparatus","c:cilium, c:cytosol, c:flotillin complex, c:focal adhesion, c:golgi apparatus, c:growth cone, c:membrane raft, c:perinuclear region of cytoplasm, c:plasma membrane, f:cadherin binding, f:calcium ion binding, f:ephrin receptor binding, f:phosphatidylinositol 3-kinase regulatory subunit binding, f:phosphotyrosine residue binding, f:receptor tyrosine kinase binding, f:sh3 domain binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:cell surface receptor signaling pathway, p:cellular response to dna damage stimulus, p:cellular response to nerve growth factor stimulus, p:cellular response to oxygen-glucose deprivation, p:cellular response to platelet-derived growth factor stimulus, p:cytokine-mediated signaling pathway, p:entry of bacterium into host cell, p:epidermal growth factor receptor signaling pathway, p:male gonad development, p:mast cell degranulation, p:negative regulation of apoptotic process, p:negative regulation of epidermal growth factor receptor signaling pathway, p:negative regulation of epidermal growth factor-activated receptor activity, p:negative regulation of neuron death, p:neuron death, p:positive regulation of epidermal growth factor receptor signaling pathway, p:positive regulation of phosphatidylinositol 3-kinase signaling, p:positive regulation of receptor-mediated endocytosis, p:protein autoubiquitination, p:protein monoubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of platelet-derived growth factor receptor-alpha signaling pathway, p:regulation of rap protein signal transduction, p:response to activity, p:response to antibiotic, p:response to ethanol, p:response to gamma radiation, p:response to starvation, p:response to testosterone, p:signal transduction, p:ubiquitin-dependent protein catabolic process",RING,
